"wave"	"coef"
250	NA
251	NA
252	NA
253	NA
254	NA
255	NA
256	NA
257	NA
258	NA
259	NA
260	NA
261	NA
262	NA
263	NA
264	NA
265	NA
266	NA
267	NA
268	NA
269	NA
270	NA
271	NA
272	NA
273	NA
274	NA
275	NA
276	NA
277	NA
278	NA
279	NA
280	NA
281	NA
282	NA
283	NA
284	NA
285	NA
286	NA
287	NA
288	NA
289	NA
290	NA
291	NA
292	NA
293	NA
294	NA
295	NA
296	NA
297	NA
298	NA
299	NA
300	NA
301	NA
302	NA
303	NA
304	NA
305	NA
306	NA
307	NA
308	NA
309	NA
310	NA
311	NA
312	NA
313	NA
314	NA
315	NA
316	NA
317	NA
318	NA
319	1.51391660918638
320	1.52192771718373
321	1.5304278654648
322	1.53956132409504
323	1.54233806457133
324	1.54386919258865
325	1.54633527539992
326	1.5494107705251
327	1.55303600740907
328	1.55746495561406
329	1.56060209311488
330	1.55592149120807
331	1.55265911184993
332	1.55052332974441
333	1.5444038544849
334	1.53901266561033
335	1.53481159328166
336	1.53366285849257
337	1.53461313903942
338	1.53632323561609
339	1.53590861343013
340	1.53058049801005
341	1.52635860190237
342	1.5229629893176
343	1.51667473502268
344	1.51144755074555
345	1.50719266816981
346	1.50086477043843
347	1.49457107078402
348	1.48925827236639
349	1.48597764831024
350	1.48476441875993
351	1.48403130315224
352	1.48212548950282
353	1.47239348927394
354	1.46379470123654
355	1.45624202177689
356	1.45357707982122
357	1.45211475906375
358	1.45126459044383
359	1.44817676974669
360	1.44386754877797
361	1.44047495735968
362	1.43673215164703
363	1.43132873256621
364	1.4266822483845
365	1.42274342174627
366	1.42045332103707
367	1.41871177816254
368	1.41747999700509
369	1.41518070010088
370	1.41280199619341
371	1.4108162472837
372	1.40814760792494
373	1.40446348589595
374	1.40133269867526
375	1.3987172899011
376	1.39656155678201
377	1.3948723233211
378	1.39362399195433
379	1.39029887044099
380	1.38703079356276
381	1.3844034731389
382	1.38186129436579
383	1.37946574698651
384	1.37749344194939
385	1.37517153667089
386	1.37117832600657
387	1.36764695400351
388	1.36454557076112
389	1.36372069099676
390	1.36325341737972
391	1.36297056901877
392	1.36059222102438
393	1.35744349582991
394	1.35466527129568
395	1.35263005347145
396	1.35153319774044
397	1.35071237763202
398	1.34985816108572
399	1.34630750878362
400	1.34312205149695
401	1.3405292726434
402	1.33835959147137
403	1.3365361134639
404	1.33502123017779
405	1.33326109498704
406	1.33127609690824
407	1.32958860808571
408	1.32789600045475
409	1.32542597801002
410	1.32325518912018
411	1.32136610222446
412	1.31814538072779
413	1.31509385394516
414	1.31234295751067
415	1.31067344061581
416	1.3097188999783
417	1.30897482349192
418	1.30792330961876
419	1.30605851840793
420	1.30442277989268
421	1.30300044447443
422	1.3017013356658
423	1.30060001713825
424	1.29968684238744
425	1.29877957995359
426	1.2979873913939
427	1.29736324724407
428	1.29657531930803
429	1.29555388208703
430	1.29469798108985
431	1.29380970483358
432	1.29203262925965
433	1.29043623936287
434	1.28901162889619
435	1.28741126903829
436	1.28592116630196
437	1.2845911919752
438	1.28336140136152
439	1.28223909646723
440	1.28125739653641
441	1.28011855631549
442	1.27833587078239
443	1.27670621426923
444	1.27522278862962
445	1.27407052804273
446	1.2730510850491
447	1.27215318937707
448	1.27101080588687
449	1.26982188210468
450	1.26875363647384
451	1.2677026288795
452	1.26650277146224
453	1.26541734263674
454	1.2644514994366
455	1.26369059915115
456	1.26302651705077
457	1.26245506177834
458	1.26193449951372
459	1.26148993530349
460	1.2611274185947
461	1.26062275607022
462	1.25998198459042
463	1.25942296331971
464	1.25896285990531
465	1.25865394398058
466	1.25841469883995
467	1.25824194888312
468	1.25810429069652
469	1.25802566728137
470	1.25800601203182
471	1.2575783667371
472	1.25693089954366
473	1.25635131577109
474	1.25582549153848
475	1.2553383812524
476	1.25491204093615
477	1.25453934747019
478	1.25408324590318
479	1.25368350235008
480	1.25333787232959
481	1.25270707785133
482	1.25201250003693
483	1.25137514674575
484	1.2506693775123
485	1.24986448836894
486	1.24911559338094
487	1.24843984535681
488	1.24792469739496
489	1.24745663035707
490	1.2470338187469
491	1.2464326268624
492	1.24583930807552
493	1.2452910715391
494	1.24457986907274
495	1.24375260427918
496	1.24297257643917
497	1.24223074604992
498	1.24151311138186
499	1.24083792014628
500	1.240203379697
501	1.23766485246252
502	1.2351478746886
