"wave"	"coef"
250	NA
251	NA
252	NA
253	NA
254	NA
255	NA
256	NA
257	NA
258	NA
259	NA
260	NA
261	NA
262	NA
263	NA
264	NA
265	NA
266	NA
267	NA
268	NA
269	NA
270	NA
271	NA
272	NA
273	NA
274	NA
275	NA
276	NA
277	NA
278	NA
279	NA
280	NA
281	NA
282	NA
283	NA
284	NA
285	NA
286	NA
287	NA
288	NA
289	NA
290	NA
291	NA
292	NA
293	NA
294	NA
295	NA
296	NA
297	NA
298	NA
299	NA
300	NA
301	NA
302	NA
303	NA
304	NA
305	NA
306	NA
307	NA
308	NA
309	NA
310	NA
311	NA
312	NA
313	NA
314	NA
315	NA
316	NA
317	NA
318	NA
319	1.78371710309561
320	1.76785405131195
321	1.75425339580469
322	1.74395430689761
323	1.73759738518612
324	1.73283957691253
325	1.72882482859552
326	1.71091556585522
327	1.6954939173398
328	1.68230543005798
329	1.67518633404709
330	1.67092075558703
331	1.66815688295882
332	1.65801002296389
333	1.63955215117798
334	1.62344389277274
335	1.60934472337075
336	1.596657360687
337	1.58571466194379
338	1.57634823007351
339	1.56350604198879
340	1.55153887223149
341	1.54119186443787
342	1.53192224786654
343	1.52370477353644
344	1.51670741757534
345	1.50881614290117
346	1.49652735035441
347	1.48569293621403
348	1.47617814307925
349	1.46743537614249
350	1.45980041001075
351	1.45297323608865
352	1.44338854802658
353	1.43310590753117
354	1.42400387254472
355	1.41541896284595
356	1.40690373638826
357	1.39941690500961
358	1.39297286145017
359	1.38874255375234
360	1.3852526417119
361	1.38262303702317
362	1.37673139725953
363	1.370464036402
364	1.3650023233697
365	1.35918868611674
366	1.35288988222012
367	1.34735258252676
368	1.3425721678084
369	1.33871230302511
370	1.33543571587719
371	1.33259528659452
372	1.32806638226299
373	1.32379059457805
374	1.3200916755538
375	1.31686992398884
376	1.31411101540307
377	1.31183807105148
378	1.30966008282098
379	1.30692653299499
380	1.30466474693698
381	1.30298096536509
382	1.29922926392005
383	1.29586962016918
384	1.29297137880768
385	1.29185221795974
386	1.291758938259
387	1.29195540901923
388	1.29122521907329
389	1.28869010234774
390	1.28651803575418
391	1.28454259426112
392	1.28194719616084
393	1.27969857898248
394	1.27777986309853
395	1.27721673652912
396	1.27724183516656
397	1.27749997966604
398	1.27681373511766
399	1.27500327087001
400	1.27348543198966
401	1.27213026952014
402	1.27019059991141
403	1.2685615835322
404	1.26722527702687
405	1.26656322327526
406	1.26621674930192
407	1.26610153277609
408	1.26550293467889
409	1.26456733463973
410	1.26386841702439
411	1.2630229882984
412	1.26129122128206
413	1.25981024649958
414	1.25856634809987
415	1.25707420785571
416	1.25578328410287
417	1.25471017936818
418	1.25385851665608
419	1.25320963323492
420	1.25274540187568
421	1.25219071800225
422	1.25130480069464
423	1.25060033590988
424	1.25005515386026
425	1.24933761665747
426	1.24878612041652
427	1.24839285901828
428	1.24779921434683
429	1.24723482874171
430	1.24682002969295
431	1.24617996388445
432	1.24521177377953
433	1.24439718660968
434	1.24371389049231
435	1.2430729000193
436	1.24256728899253
437	1.24219145838061
438	1.24164487887358
439	1.24116456196873
440	1.24080574787134
441	1.23995902845948
442	1.23870462441271
443	1.2375869763901
444	1.23663412286239
445	1.23592114816792
446	1.23532351855114
447	1.2348356949751
448	1.23407337661705
449	1.23338963875043
450	1.23281280112469
451	1.23194372591079
452	1.23091817771241
453	1.23000190280327
454	1.22912872651968
455	1.22822658270685
456	1.22742467343482
457	1.22672194653205
458	1.22631961088189
459	1.22599956115978
460	1.22575829903804
461	1.22515859008012
462	1.22446913948401
463	1.22386254103033
464	1.22344681745256
465	1.22326163280352
466	1.22314319858314
467	1.22307381301178
468	1.22294735129398
469	1.22288236021857
470	1.2228760530226
471	1.22234497450648
472	1.22174353384489
473	1.22120907391673
474	1.22087610518944
475	1.22073397440073
476	1.22064530788134
477	1.22054089381999
478	1.22022973118535
479	1.21997209861487
480	1.21976586842133
481	1.21949723770771
482	1.21926594216775
483	1.21908242407353
484	1.21878637332885
485	1.21843391322055
486	1.21812835303394
487	1.21791510838409
488	1.2178524143112
489	1.21782831468029
490	1.21784128412522
491	1.21680745522239
492	1.21582834885502
493	1.21490313870822
494	1.21387202700968
495	1.21282656703015
496	1.2118336848529
497	1.21090098940797
498	1.21003130467302
499	1.20920786950735
500	1.2084724685411
501	1.20816066269613
502	1.20788117254342
