"wave"	"coef"
250	NA
251	NA
252	NA
253	NA
254	NA
255	NA
256	NA
257	NA
258	NA
259	NA
260	NA
261	NA
262	NA
263	NA
264	NA
265	NA
266	NA
267	NA
268	NA
269	NA
270	NA
271	NA
272	NA
273	NA
274	NA
275	NA
276	NA
277	NA
278	NA
279	NA
280	NA
281	NA
282	NA
283	NA
284	NA
285	NA
286	NA
287	NA
288	NA
289	NA
290	NA
291	NA
292	NA
293	NA
294	NA
295	NA
296	NA
297	NA
298	NA
299	NA
300	NA
301	NA
302	NA
303	NA
304	NA
305	NA
306	NA
307	NA
308	NA
309	NA
310	NA
311	NA
312	NA
313	NA
314	NA
315	NA
316	NA
317	NA
318	NA
319	1.19812788361553
320	1.20257878211973
321	1.20749634239905
322	1.21298633451102
323	1.20392898747583
324	1.1962698766021
325	1.1899277968171
326	1.18568804479915
327	1.18284939051589
328	1.18093709504424
329	1.17823713532294
330	1.17414547999261
331	1.17116132929334
332	1.16996324983467
333	1.17625028407119
334	1.18293781265959
335	1.19000298522716
336	1.18293168665923
337	1.17397021439186
338	1.16622209150969
339	1.15972739602104
340	1.15435350136441
341	1.14990360487205
342	1.14839647148746
343	1.15437359379336
344	1.16063912025748
345	1.16717672915203
346	1.16820290527273
347	1.16931261922814
348	1.17085989838097
349	1.17077430819943
350	1.17006051809329
351	1.16971290252754
352	1.16757998788047
353	1.16191689499869
354	1.15701246181943
355	1.15296152616933
356	1.15214426195728
357	1.15179900926935
358	1.15190075048628
359	1.14992925805978
360	1.14769851061153
361	1.14613299436605
362	1.14519485926295
363	1.14486258199904
364	1.14493243852802
365	1.14523686272238
366	1.14520696450275
367	1.14553654283601
368	1.14620140623702
369	1.14661663527522
370	1.14726395868764
371	1.14811830089275
372	1.14748188306589
373	1.14589931392948
374	1.1447002882741
375	1.14401745422396
376	1.14406439666743
377	1.144416946015
378	1.14506023563061
379	1.14573449788642
380	1.14667892293689
381	1.14800298483002
382	1.14699325140284
383	1.14514104349641
384	1.14363416211635
385	1.14280571076037
386	1.14281666041024
387	1.14307060749223
388	1.14347221219718
389	1.14329885182178
390	1.14335352818005
391	1.14354655068549
392	1.14328283561963
393	1.14306750785142
394	1.14306737767415
395	1.14281373275802
396	1.1423137416474
397	1.14203142750004
398	1.14182230099114
399	1.14128583819169
400	1.14096157165911
401	1.1410500009374
402	1.14032978956544
403	1.13973744686828
404	1.13937306516232
405	1.13915866907822
406	1.13910822118695
407	1.1392541196731
408	1.13927024227677
409	1.13877387955282
410	1.13847576811742
411	1.13835213755215
412	1.13711056066953
413	1.13608045604316
414	1.13525036472702
415	1.13494335856198
416	1.13493787185373
417	1.13508859063453
418	1.13495121704873
419	1.13436043754732
420	1.13393404903204
421	1.13364433167457
422	1.13336360837313
423	1.13322816944137
424	1.13323116302941
425	1.13368994602342
426	1.13433507105797
427	1.13508880176655
428	1.13566539994993
429	1.13609393129541
430	1.13662955760493
431	1.13696193050416
432	1.13635637597588
433	1.13588000439699
434	1.13552660833313
435	1.13490932257963
436	1.13438425456066
437	1.13397692832335
438	1.13375634556007
439	1.13368449189505
440	1.13371122255406
441	1.13344148874561
442	1.13249522473346
443	1.13166559554108
444	1.13095515189416
445	1.13056350734871
446	1.13026795065432
447	1.13006384727782
448	1.12976928594931
449	1.1294999438707
450	1.12931687472984
451	1.12920349788639
452	1.12907631121313
453	1.12902650436201
454	1.1289952570519
455	1.12870467103349
456	1.12849072827476
457	1.12835012112388
458	1.12837639356673
459	1.12848496301878
460	1.12865503571304
461	1.12865285793295
462	1.12852334277462
463	1.1284564943346
464	1.12839038586094
465	1.12820661710235
466	1.12808316652967
467	1.12801727319883
468	1.12852923196496
469	1.12910853453455
470	1.12972734009054
471	1.12982176253368
472	1.12967249074398
473	1.12957455580477
474	1.12950391083812
475	1.12944184563389
476	1.12942634727484
477	1.12946460978848
478	1.12968527603725
479	1.12994368658658
480	1.13023828592984
481	1.13005172532883
482	1.12975281231091
483	1.12949853181544
484	1.12931259793793
485	1.12919620983462
486	1.12911767734035
487	1.12907564733673
488	1.12906733349276
489	1.12909253350542
490	1.12914990211789
491	1.12877920067312
492	1.12838355054338
493	1.12802587637442
494	1.1278884846117
495	1.12791341125637
496	1.12796610419223
497	1.1279613213317
498	1.12777609996743
499	1.12762042997101
500	1.12749297164404
501	1.12588960067042
502	1.12432904337912
