"wave"	"coef"
250	NA
251	NA
252	NA
253	NA
254	NA
255	NA
256	NA
257	NA
258	NA
259	NA
260	NA
261	NA
262	NA
263	NA
264	NA
265	NA
266	NA
267	NA
268	NA
269	NA
270	NA
271	NA
272	NA
273	NA
274	NA
275	NA
276	NA
277	NA
278	NA
279	NA
280	NA
281	NA
282	NA
283	NA
284	NA
285	NA
286	NA
287	NA
288	NA
289	NA
290	NA
291	NA
292	NA
293	NA
294	NA
295	NA
296	NA
297	NA
298	NA
299	NA
300	NA
301	NA
302	NA
303	NA
304	NA
305	NA
306	NA
307	NA
308	NA
309	NA
310	NA
311	NA
312	NA
313	NA
314	NA
315	NA
316	NA
317	NA
318	NA
319	1.83333945289066
320	1.79645750684875
321	1.76418436909944
322	1.73897533140395
323	1.72241406546863
324	1.70827830429167
325	1.69589559766315
326	1.67654610837089
327	1.65980699224214
328	1.64540298831946
329	1.63752955817675
330	1.63266389751674
331	1.62931117084887
332	1.6218233540523
333	1.60953044865853
334	1.59902952697448
335	1.5889910238606
336	1.57433903289099
337	1.56158804898962
338	1.55054765899515
339	1.53552184965926
340	1.52144640684143
341	1.50915250897286
342	1.49730193238202
343	1.48609607118644
344	1.47631703378819
345	1.46840340021152
346	1.46321657378032
347	1.45896718082651
348	1.45558040512644
349	1.44805413744795
350	1.44136094488916
351	1.43540934910373
352	1.42826158450274
353	1.4210416318848
354	1.4147868973873
355	1.40892120790213
356	1.40305173944724
357	1.39803888097897
358	1.39370782979483
359	1.38840853817243
360	1.38391090152297
361	1.38032837133913
362	1.37618463582262
363	1.37236199039934
364	1.36920517852283
365	1.36546865684431
366	1.36101362550734
367	1.35721625978217
368	1.35390168165315
369	1.35052550912102
370	1.34771081675701
371	1.34531156427596
372	1.34090675120455
373	1.33670531814711
374	1.33308028463175
375	1.3305969180296
376	1.3290517211478
377	1.32794081541096
378	1.32652062640167
379	1.32352796981304
380	1.32102366195437
381	1.31911435470909
382	1.31740398139999
383	1.31608662626361
384	1.31514359570151
385	1.31383819530715
386	1.31252611745685
387	1.31155652855551
388	1.31028145240222
389	1.30823061351635
390	1.30652569381979
391	1.30504244847794
392	1.30360972721183
393	1.30247947149578
394	1.3016382127499
395	1.30050176433101
396	1.2994658720283
397	1.29870542868578
398	1.29776949057771
399	1.29658245399701
400	1.29566791331801
401	1.29482989388228
402	1.29301831703807
403	1.29151664236051
404	1.29030705020688
405	1.28963421456324
406	1.28925767541205
407	1.2891174011266
408	1.28848070111586
409	1.28749776989297
410	1.28675687075577
411	1.28597453305358
412	1.28460735050745
413	1.28348130966542
414	1.28258336491138
415	1.28107787290961
416	1.27975712255814
417	1.27865852846964
418	1.27777482772572
419	1.27709229530456
420	1.27659861556199
421	1.27605701941455
422	1.27526035626252
423	1.27464522227182
424	1.27419999299113
425	1.27384533591552
426	1.27364848118787
427	1.27360211019396
428	1.27334993706773
429	1.27312030210789
430	1.27303319832558
431	1.27257603218847
432	1.27161014408759
433	1.27080041904625
434	1.27014857713915
435	1.26969849610456
436	1.26938082426478
437	1.2691901462941
438	1.26892306042401
439	1.26873665990586
440	1.26866613595601
441	1.26805188050644
442	1.26698080438621
443	1.26604338399884
444	1.26526207028003
445	1.26469839303322
446	1.26424822601091
447	1.26390611986846
448	1.26302822048206
449	1.26221247710364
450	1.26150925734909
451	1.2607636713878
452	1.26000759424832
453	1.25935545187206
454	1.25866630929183
455	1.25778606008482
456	1.25700730234524
457	1.25632909038136
458	1.25596246845765
459	1.25567900987629
460	1.25547517968061
461	1.25481040346094
462	1.25401816631394
463	1.25331293156057
464	1.2528197401296
465	1.2525847605713
466	1.25241916898413
467	1.25232006205754
468	1.25228617463273
469	1.25231312556658
470	1.25239814318377
471	1.2519275772255
472	1.25137944387015
473	1.25089835283077
474	1.25053779268602
475	1.25029156063228
476	1.25010224349997
477	1.24987139479172
478	1.24932546576029
479	1.24883928865846
480	1.2484105005458
481	1.24808442222557
482	1.24781493156524
483	1.24759501490984
484	1.24733775309549
485	1.24707247432005
486	1.24685324193286
487	1.24665833463826
488	1.2464592654971
489	1.24630233509595
490	1.24618589377035
491	1.24506292587838
492	1.24399746771766
493	1.24298854783001
494	1.2419163521907
495	1.2408485702898
496	1.23983454129325
497	1.23889689149814
498	1.23804565317192
499	1.23724093658322
500	1.23651545546702
501	1.23612954533232
502	1.23577795010577
